Reading records: 973ms
KD-tree:
Element 1 of 20000, Depth 13, Axis 1: lon=-175.20, lat=-21.17
Element 2 of 20000, Depth 12, Axis 0: lon=-175.12, lat=-21.25
Element 3 of 20000, Depth 13, Axis 1: lon=-174.90, lat=-21.40
Element 4 of 20000, Depth 11, Axis 1: lon=-174.62, lat=-20.06
Element 5 of 20000, Depth 13, Axis 1: lon=-175.64, lat=-15.59
Element 6 of 20000, Depth 12, Axis 0: lon=-174.04, lat=-18.72
Element 7 of 20000, Depth 13, Axis 1: lon=-172.13, lat=-13.76
Element 8 of 20000, Depth 14, Axis 0: lon=-171.82, lat=-9.16
Element 9 of 20000, Depth 10, Axis 0: lon=-170.76, lat=-14.31
Element 10 of 20000, Depth 13, Axis 1: lon=-169.86, lat=-19.05
Element 11 of 20000, Depth 12, Axis 0: lon=-157.98, lat=-19.92
Element 12 of 20000, Depth 13, Axis 1: lon=-130.00, lat=-45.00
Element 13 of 20000, Depth 14, Axis 0: lon=-128.33, lat=-24.37
Element 14 of 20000, Depth 11, Axis 1: lon=-149.45, lat=-17.69
Element 15 of 20000, Depth 13, Axis 1: lon=-170.70, lat=-14.30
Element 16 of 20000, Depth 12, Axis 0: lon=-146.05, lat=-16.03
Element 17 of 20000, Depth 13, Axis 1: lon=-78.78, lat=-4.06
Element 18 of 20000, Depth 14, Axis 0: lon=-79.81, lat=-4.05
Element 19 of 20000, Depth 9, Axis 1: lon=-79.83, lat=-3.53
Element 20 of 20000, Depth 13, Axis 1: lon=-80.04, lat=-2.37
Element 21 of 20000, Depth 12, Axis 0: lon=-80.00, lat=-2.00
Element 22 of 20000, Depth 13, Axis 1: lon=-78.98, lat=-2.57
Element 23 of 20000, Depth 14, Axis 0: lon=-79.91, lat=-2.17
Element 24 of 20000, Depth 11, Axis 1: lon=-79.55, lat=-1.49
Element 25 of 20000, Depth 13, Axis 1: lon=-120.94, lat=-0.70
Element 26 of 20000, Depth 12, Axis 0: lon=-90.67, lat=-0.06
Element 27 of 20000, Depth 13, Axis 1: lon=-80.06, lat=-0.76
Element 28 of 20000, Depth 14, Axis 0: lon=-79.39, lat=0.73
Element 29 of 20000, Depth 10, Axis 0: lon=-78.89, lat=-0.83
Element 30 of 20000, Depth 13, Axis 1: lon=-78.73, lat=-1.93
Element 31 of 20000, Depth 12, Axis 0: lon=-78.50, lat=-1.78
Element 32 of 20000, Depth 13, Axis 1: lon=-78.00, lat=-2.62
Element 33 of 20000, Depth 14, Axis 0: lon=-78.48, lat=-1.28
Element 34 of 20000, Depth 11, Axis 1: lon=-78.51, lat=-0.22
Element 35 of 20000, Depth 13, Axis 1: lon=-78.51, lat=-0.21
Element 36 of 20000, Depth 12, Axis 0: lon=-78.36, lat=0.38
Element 37 of 20000, Depth 13, Axis 1: lon=-78.33, lat=-0.06
Element 38 of 20000, Depth 14, Axis 0: lon=-78.21, lat=0.84
Element 39 of 20000, Depth 8, Axis 0: lon=-78.00, lat=1.50
Element 40 of 20000, Depth 13, Axis 1: lon=-73.75, lat=-46.41
Element 41 of 20000, Depth 12, Axis 0: lon=-73.12, lat=-42.15
Element 42 of 20000, Depth 13, Axis 1: lon=-71.93, lat=-52.36
Element 43 of 20000, Depth 11, Axis 1: lon=-72.67, lat=-39.98
Element 44 of 20000, Depth 13, Axis 1: lon=-76.28, lat=-10.14
Element 45 of 20000, Depth 12, Axis 0: lon=-72.46, lat=-36.84
Element 46 of 20000, Depth 13, Axis 1: lon=-72.16, lat=-38.61
Element 47 of 20000, Depth 14, Axis 0: lon=-72.36, lat=-37.47
Element 48 of 20000, Depth 10, Axis 0: lon=-71.92, lat=-36.60
