Reading records: 247ms
Depth 0, Axis 0: lon=3.151876, lat=48.395560
Depth 1, Axis 1: lon=-0.287686, lat=48.801238
Depth 2, Axis 0: lon=-0.097482, lat=48.787912
Depth 3, Axis 1: lon=-0.220556, lat=43.541452
Depth 4, Axis 0: lon=-16.118732, lat=13.442943
Depth 5, Axis 1: lon=-90.334807, lat=15.086525
Depth 6, Axis 0: lon=-69.833333, lat=8.166667
Depth 7, Axis 1: lon=-72.826862, lat=5.627898
Depth 8, Axis 0: lon=-77.970188, lat=-0.762647
Depth 9, Axis 1: lon=-78.004811, lat=-2.623297
Depth 10, Axis 0: lon=-170.695975, lat=-14.300631
Depth 11, Axis 1: lon=-174.040847, lat=-18.719676
Depth 12, Axis 0: lon=-174.898776, lat=-21.395216
Depth 13, Axis 1: lon=-175.198200, lat=-21.166707
Depth 14, Axis 0: lon=-175.116587, lat=-21.246064
Depth 13, Axis 1: lon=-174.622992, lat=-20.058740
Depth 12, Axis 0: lon=-171.820196, lat=-9.155104
Depth 13, Axis 1: lon=-172.128208, lat=-13.757514
Depth 14, Axis 0: lon=-175.639317, lat=-15.594723
Depth 13, Axis 1: lon=-170.759614, lat=-14.306384
Depth 11, Axis 1: lon=-149.445078, lat=-17.687493
Depth 12, Axis 0: lon=-130.000000, lat=-45.000000
Depth 13, Axis 1: lon=-169.861574, lat=-19.053129
Depth 14, Axis 0: lon=-157.975337, lat=-19.919673
Depth 13, Axis 1: lon=-128.326951, lat=-24.371214
Depth 12, Axis 0: lon=-79.805342, lat=-4.052851
Depth 13, Axis 1: lon=-79.833323, lat=-3.531109
Depth 14, Axis 0: lon=-146.049093, lat=-16.034425
Depth 13, Axis 1: lon=-78.775159, lat=-4.062018
Depth 10, Axis 0: lon=-78.893776, lat=-0.826852
Depth 11, Axis 1: lon=-79.554248, lat=-1.494127
Depth 12, Axis 0: lon=-79.905024, lat=-2.170414
Depth 13, Axis 1: lon=-80.000000, lat=-2.000000
Depth 14, Axis 0: lon=-80.037072, lat=-2.369003
Depth 13, Axis 1: lon=-78.980468, lat=-2.574484
Depth 12, Axis 0: lon=-80.061213, lat=-0.758803
Depth 13, Axis 1: lon=-90.673898, lat=-0.060690
Depth 14, Axis 0: lon=-120.937500, lat=-0.703107
Depth 13, Axis 1: lon=-79.385887, lat=0.734362
Depth 11, Axis 1: lon=-78.507002, lat=-0.206375
Depth 12, Axis 0: lon=-78.503950, lat=-1.776685
Depth 13, Axis 1: lon=-78.512327, lat=-0.220164
Depth 14, Axis 0: lon=-78.729780, lat=-1.926263
Depth 13, Axis 1: lon=-78.475467, lat=-1.276590
Depth 12, Axis 0: lon=-78.207515, lat=0.837516
Depth 13, Axis 1: lon=-78.355681, lat=0.375362
Depth 14, Axis 0: lon=-78.328437, lat=-0.058489
Depth 13, Axis 1: lon=-78.000009, lat=1.500000
Depth 9, Axis 1: lon=-76.480318, lat=-0.786180
Depth 10, Axis 0: lon=-71.923762, lat=-36.601192
Depth 11, Axis 1: lon=-72.164242, lat=-38.609519
Depth 12, Axis 0: lon=-72.667378, lat=-39.984131
Depth 13, Axis 1: lon=-73.122786, lat=-42.151800
Depth 14, Axis 0: lon=-73.752593, lat=-46.405111
Depth 13, Axis 1: lon=-71.928398, lat=-52.359450
Depth 12, Axis 0: lon=-72.458354, lat=-36.838729
Depth 13, Axis 1: lon=-77.000000, lat=-1.916667
Depth 14, Axis 0: lon=-76.277546, lat=-10.139942
Depth 13, Axis 1: lon=-72.355541, lat=-37.467310
Depth 11, Axis 1: lon=-71.608129, lat=-33.115392
Depth 12, Axis 0: lon=-71.046471, lat=-34.428280
Depth 13, Axis 1: lon=-71.713482, lat=-33.185393
Depth 14, Axis 0: lon=-71.512114, lat=-35.614680
Depth 13, Axis 1: lon=-70.605385, lat=-33.606691
Depth 12, Axis 0: lon=-70.711176, lat=-9.129064
Depth 13, Axis 1: lon=-70.980922, lat=-30.659163
Depth 14, Axis 0: lon=-71.725512, lat=-33.089189
Depth 13, Axis 1: lon=-69.930603, lat=-27.410985
Depth 10, Axis 0: lon=-74.175804, lat=4.282341
Depth 11, Axis 1: lon=-76.578757, lat=3.410575
Depth 12, Axis 0: lon=-75.590011, lat=2.473899
